Neibhourhood,Lat,Lon
Wakefield-Williamsbridge,40.89968894,-73.85137153
Auburndale,40.75168942,-73.79056825
Kings Bridge,40.88094979,-73.90604387
Astoria-Long Island City,40.76550695,-73.92570641
Laurelton,40.6721801,-73.74552452
Maspeth,40.72588855,-73.90727225
Canarsie,40.6288675,-73.89852409
Nkew Gardens,40.71663398,-73.82779688
Mapleton-Flatlands,40.62396097,-73.95352321
Tribeca,40.72036229,-74.01171772
Williams Bridge,40.86700038,-73.86838011
Bedford Park,40.87202507,-73.88491908
Corona,40.76496307,-73.86111308
Central Park,40.78342161,-73.9646069
Utopia,40.72116663,-73.79592641
Soho,40.72641705,-74.0078944
Tremont,40.84845985,-73.89015543
Hamilton Heights,40.82189479,-73.9536526
College Point,40.78864379,-73.85447851
Bushwick,40.69355875,-73.9013787
Mott Haven,40.80972263,-73.91596636
Clinton,40.76188604,-74.00230047
Jamaica,40.70435211,-73.78244039
Douglastown-Little Neck,40.74904324,-73.72457282
Morris Heights,40.84934452,-73.91468051
Gravesend-Sheepshead Bay,40.58479484,-73.96560549
The Rockaways,40.58778305,-73.82049232
Upper East Side,40.77295092,-73.95146115
Queens Village,40.71065928,-73.73888052
Dyker Heights,40.61567974,-74.02458359
Washington Heights,40.8454604,-73.93691061
Woodside,40.75176373,-73.90184382
Flatbush,40.66596718,-73.96990637
Spuyten Duyvil,40.88132866,-73.91593794
Borough Park,40.63603206,-73.98921951
Greenwood,40.6559677,-73.99545929
East Brooklyn,40.66522603,-73.87138867
Greenwich Village,40.73177447,-73.99867813
Morningside Heights,40.81251372,-73.96191411
South Bronx,40.83095728,-73.89743658
Chinatown,40.71641012,-73.99760155
Saintalbans,40.70109899,-73.76503802
Chelsea,40.75036504,-74.00816093
Woodlawn-Nordwood,40.89404666,-73.87683204
North Sutton Area,40.7577519,-73.96291202
Riverdale,40.89388133,-73.90426046
Glendale,40.70001271,-73.87780543
Clearview,40.78112983,-73.78053142
Midtown,40.76746151,-73.99083044
Bedford-Stuyvesant,40.68256865,-73.94263375
Morris Park,40.84883127,-73.8685984
Sunset Park,40.64394883,-74.01693409
Upper West Side,40.78433058,-73.98117689
Queensboro Hill,40.76574174,-73.80967954
Sunny Side,40.74206421,-73.93470863
Carnegie Hill,40.78439454,-73.95540139
Lower East Side,40.71333799,-73.98988777
Parkchester,40.84541332,-73.84910471
Red Hook,40.66093851,-74.01568934
Gramercy,40.73579403,-73.97553508
Downtown,40.69507485,-73.98881362
East Village,40.72586403,-73.98164047
Hunts Point,40.81223442,-73.88466735
Financial District,40.70476716,-74.00810248
Union Port,40.82207021,-73.84713591
Soundview,40.81986069,-73.8650938
Bensonhurst,40.60346011,-74.00726783
Cobble Hill,40.68895825,-74.00172834
Country Club,40.86792688,-73.83038532
Middle Village,40.72214162,-73.8795329
Yorkville,40.78752553,-73.94356957
Woodhaven-Richmond Hill,40.69189148,-73.8345065
Carroll Gardens,40.67680436,-73.99643264
Eastchester,40.8649328,-73.79911422
Park Slope,40.66644811,-73.98078018
East Harlem,40.79648774,-73.93351939
Bayside,40.7937417,-73.78225397
Boerum Hill,40.68623005,-73.9856128
Flushing,40.74896468,-73.82829549
Little Italy,40.7224205,-73.99628502
Fort Green,40.68416958,-73.96395656
City Island,40.84857564,-73.78772396
Murray Hill,40.74778835,-73.97559168
Howard Beach,40.64889453,-73.85458065
Battery Park,40.70942582,-74.01697082
Coney Island,40.58112421,-73.99223189
Springfield Gardens,40.66927836,-73.76988649
West Village,40.73663004,-74.01074562
Garment District,40.7511477,-73.98944767
Rosedale,40.64179532,-73.73589705
Brownsville,40.64628974,-73.91834406
Harlem,40.81203077,-73.94263569
Whitestone,40.79871554,-73.8186369
Forest Hills,40.72144008,-73.85225209
Steinway,40.78424676,-73.90179714
Fordham,40.86145014,-73.89237192 
Jackson Heights,40.7584864,-73.87698447
University Heights,40.86369908,-73.90805379 
Baychester,40.86636393,-73.8488516
Ridgewood,40.70912022,-73.90113243
Williamsburg,40.7060783,-73.97035629
Throggs Neck,40.81838932,-73.81267901
High Bridge,40.83551842,-73.92483794
Bay Ridge,40.62705832,-74.03634518
Inwood,40.87151827,-73.9173399